feature,x2_str,y_str
"[[[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 ...

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]]",['s'],1
"[[[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 ...

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]]",['s 1'],4
"[[[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 ...

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]]",['s 1 4'],7
"[[[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 ...

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]]",['s 1 4 7'],/
"[[[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 ...

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]]",['s 1 4 7 /'],1
"[[[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 ...

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]]",['s 1 4 7 / 1'],5
"[[[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 ...

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]]",['s 1 4 7 / 1 5'],7
"[[[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 ...

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]]",['s 1 4 7 / 1 5 7'],+
"[[[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 ...

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]]",['s 1 4 7 / 1 5 7 +'],1
"[[[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 ...

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]

 [[253 254 235]
  [253 254 235]
  [253 254 235]
  ...
  [253 254 235]
  [253 254 235]
  [253 254 235]]]",['s 1 4 7 / 1 5 7 + 1'],0
